year,site_name,site_type,forest_cover_2000,loss_year,cumulative_loss_by_year,ndvi_mean,nighttime_lights_mean,likely_land_cover
2000,pasture_site_1,pasture,49.051849866538234,1,147801,0.6619177107126005,,vegetation
2001,pasture_site_1,pasture,49.051849866538234,1,147801,0.6640713510538164,,vegetation
2002,pasture_site_1,pasture,49.051849866538234,1,147801,0.6789614526571275,,vegetation
2003,pasture_site_1,pasture,49.051849866538234,1,147801,0.6602145504380235,,vegetation
2004,pasture_site_1,pasture,49.051849866538234,1,147801,0.6647799619048811,,vegetation
2005,pasture_site_1,pasture,49.051849866538234,1,147801,0.6463012835814624,,vegetation
2006,pasture_site_1,pasture,49.051849866538234,1,147801,0.6526180903889285,,vegetation
2007,pasture_site_1,pasture,49.051849866538234,1,147801,0.6618282666107645,,vegetation
2008,pasture_site_1,pasture,49.051849866538234,1,147801,0.6457245116115462,,vegetation
2009,pasture_site_1,pasture,49.051849866538234,1,147801,0.6476573181718672,,vegetation
2010,pasture_site_1,pasture,49.051849866538234,1,147801,0.6238265519073256,,vegetation
2011,pasture_site_1,pasture,49.051849866538234,1,147801,0.6374614874875986,,vegetation
2012,pasture_site_1,pasture,49.051849866538234,1,147801,0.6444069430006852,0.0,vegetation
2013,pasture_site_1,pasture,49.051849866538234,1,147801,0.6539006237310819,0.0,vegetation
2014,pasture_site_1,pasture,49.051849866538234,1,147801,0.6273533540431889,0.3651379454092845,vegetation
2015,pasture_site_1,pasture,49.051849866538234,1,147801,0.6240972559463569,0.4033871987800578,vegetation
2016,pasture_site_1,pasture,49.051849866538234,1,147801,0.6428010535288778,0.45233286101093284,vegetation
2017,pasture_site_1,pasture,49.051849866538234,1,147801,0.6155520489965897,0.646335638124066,vegetation
2018,pasture_site_1,pasture,49.051849866538234,1,147801,0.6567245772053851,0.7175633064181366,vegetation
2019,pasture_site_1,pasture,49.051849866538234,1,147801,0.6277103279462308,0.6857610477237194,vegetation
2020,pasture_site_1,pasture,49.051849866538234,1,147801,0.6212129774495113,0.7945767344478226,vegetation
2021,pasture_site_1,pasture,49.051849866538234,1,147801,0.617394499118334,0.6056245753663005,vegetation
2022,pasture_site_1,pasture,49.051849866538234,1,147801,0.5866721649249765,,vegetation
2023,pasture_site_1,pasture,49.051849866538234,1,147801,0.6228288213492111,,vegetation
